"","Season","Week","Name","Position","Team","Home.Away","Opponent","FanDuel.pts","FanDuel.sal"
"201",2015,12,"Chris Givens","WR","BAL","AWAY","CLE",5.5,4500
"202",2015,12,"Tyler Lockett","WR","SEA","HOME","PIT",5.3,5600
"203",2015,12,"Marques Colston","WR","NOR","AWAY","HOU",5.3,5200
"204",2015,12,"Stefon Diggs","WR","MIN","AWAY","ATL",5.1,6600
"205",2015,12,"Marc Mariani","WR","CHI","AWAY","GNB",5,4500
"206",2015,12,"Pierre Garcon","WR","WAS","HOME","NYG",5,5700
"207",2015,12,"Chris Hogan","WR","BUF","AWAY","KAN",4.9,4900
"208",2015,12,"Albert Wilson","WR","KAN","HOME","BUF",4.8,4800
"209",2015,12,"Dorial Green-Beckham","WR","TEN","HOME","OAK",4.7,5400
"210",2015,12,"Jeremy Butler","WR","BAL","AWAY","CLE",4.2,4700
"211",2015,12,"Demaryius Thomas","WR","DEN","HOME","NWE",4.1,7700
"212",2015,12,"Robert Woods","WR","BUF","AWAY","KAN",4,5100
"213",2015,12,"Quincy Enunwa","WR","NYJ","HOME","MIA",3.9,4800
"214",2015,12,"Dwayne Harris","WR","NYG","AWAY","WAS",3.9,5300
"215",2015,12,"Dez Bryant","WR","DAL","HOME","CAR",3.6,8300
"216",2015,12,"Rashad Greene","WR","JAC","HOME","SDG",3.2,4700
"217",2015,12,"Justin Hardy","WR","ATL","HOME","MIN",3.1,4500
"218",2015,12,"Adam Humphries","WR","TAM","AWAY","IND",3,5000
"219",2015,12,"Devin Funchess","WR","CAR","AWAY","DAL",2.9,5900
"220",2015,12,"Bradley Marquez","WR","STL","AWAY","CIN",2.8,4500
"221",2015,12,"Andre Johnson","WR","IND","HOME","TAM",2.7,5300
"222",2015,12,"Riley Cooper","WR","PHI","AWAY","DET",2.6,5200
"223",2015,12,"Nelson Agholor","WR","PHI","AWAY","DET",2.5,4800
"224",2015,12,"Kendall Wright","WR","TEN","HOME","OAK",2.5,5300
"225",2015,12,"Ryan Grant","WR","WAS","HOME","NYG",2.4,4600
"226",2015,12,"Davante Adams","WR","GNB","HOME","CHI",2.4,6900
"227",2015,12,"Jarius Wright","WR","MIN","AWAY","ATL",2.3,4900
"228",2015,12,"Kenny Stills","WR","MIA","AWAY","NYJ",2.2,4800
"229",2015,12,"Jamison Crowder","WR","WAS","HOME","NYG",2.2,5400
"230",2015,12,"Michael Floyd","WR","ARI","AWAY","SFO",1.9,6400
