Name	Projection	Id	Position	First Name	Last Name	FPPG	Played	Salary	Game	Team	Opponent	Location	Injury Indicator	Injury Details
Cordarrelle Patterson	1.335434787	30733	WR	Cordarrelle	Patterson	0.9	11	4500	SEA@MIN	MIN	SEA	MIN		
Tyrell Williams	1.332988036	62535	WR	Tyrell	Williams	0	3	4500	DEN@SD	SDG	DEN	SDG		
Jalen Saunders	1.31958251	27445	WR	Jalen	Saunders	0	0	4500	SF@CHI	CHI	SFO	CHI		
Cory Harkey	1.309169802	22849	TE	Cory	Harkey	0.2	11	4500	ARI@STL	STL	ARI	STL		
Kendall Gaskins	1.307553946	39512	RB	Kendall	Gaskins	1.3	4	5000	SF@CHI	SFO	CHI	CHI		
Bruce Miller	1.307553946	14406	RB	Bruce	Miller	1.4	11	4500	SF@CHI	SFO	CHI	CHI		
Vincent Brown	1.274686257	14277	WR	Vincent	Brown	0	0	4500	IND@PIT	IND	PIT	PIT		
Arthur Williams	1.218213369	64160	WR	Arthur	Williams	0	0	4500	NYJ@NYG	NYJ	NYG	NYG		
Knile Davis	1.213654684	31073	RB	Knile	Davis	1.6	9	4500	KC@OAK	KAN	OAK	OAK		
Sammie Coates	1.210186917	31241	WR	Sammie	Coates	0.3	6	4500	IND@PIT	PIT	IND	PIT		
Jim Dray	1.189290402	11648	TE	Jim	Dray	0.6	11	4500	CIN@CLE	CLE	CIN	CLE		
Rob Housler	1.189290402	14274	TE	Rob	Housler	0.2	6	4500	CIN@CLE	CLE	CIN	CLE		
E.J. Bibbs	1.189290402	39678	TE	E.J.	Bibbs	0	2	4500	CIN@CLE	CLE	CIN	CLE		
Lucky Whitehead	1.182103074	47953	WR	Lucky	Whitehead	0.7	10	4500	DAL@WAS	DAL	WAS	WAS		
Marcus Easley	1.171560019	11522	WR	Marcus	Easley	1.4	9	4500	HOU@BUF	BUF	HOU	BUF	P	Concussion
Erik Lorig	1.150748485	11671	RB	Erik	Lorig	0	0	4500	CAR@NO	NOR	CAR	NOR		
Marcus Murphy	1.150748485	27199	RB	Marcus	Murphy	0.4	11	4500	CAR@NO	NOR	CAR	NOR		
Rico Richardson	1.147820823	39652	WR	Rico	Richardson	0	5	4500	JAC@TEN	TEN	JAX	TEN		
Denarius Moore	1.134234658	14338	WR	Denarius	Moore	-0.3	6	4500	HOU@BUF	BUF	HOU	BUF		
Dri Archer	1.126481665	44952	RB	Dri	Archer	0	8	4500	IND@PIT	PIT	IND	PIT		
Jordan Todman	1.126481665	14369	RB	Jordan	Todman	0.2	11	4700	IND@PIT	PIT	IND	PIT		
Isaiah Pead	1.126481665	21984	RB	Isaiah	Pead	-0.8	2	4500	IND@PIT	PIT	IND	PIT		
Solomon Patton	1.094997653	30259	WR	Solomon	Patton	0	0	4500	DEN@SD	DEN	SDG	SDG		
Aldrick Robinson	1.081133842	14372	WR	Aldrick	Robinson	0	0	4500	BAL@MIA	BAL	MIA	MIA		
Joseph Morgan	1.081133842	14815	WR	Joseph	Morgan	0	2	4500	BAL@MIA	BAL	MIA	MIA		
Chris Matthews	1.081133842	15121	WR	Chris	Matthews	0.8	9	4500	BAL@MIA	BAL	MIA	MIA		
Antone Smith	1.058676996	10046	RB	Antone	Smith	0.2	5	4600	SF@CHI	CHI	SFO	CHI		
Darrel Young	1.038119792	10695	RB	Darrel	Young	0.3	11	4500	DAL@WAS	WAS	DAL	WAS		
Mike James	1.008683944	25783	RB	Mike	James	0	0	4500	ATL@TB	TAM	ATL	TAM		
Bobby Rainey	1.008683944	22958	RB	Bobby	Rainey	0.4	11	4600	ATL@TB	TAM	ATL	TAM		
Rod Smith	0.991270384	28545	RB	Rod	Smith	0.3	6	4500	DAL@WAS	DAL	WAS	WAS		
Tommy Bohanon	0.801919254	25654	RB	Tommy	Bohanon	0.6	11	4500	NYJ@NYG	NYJ	NYG	NYG		
Geremy Davis	0.797897776	34125	WR	Geremy	Davis	0.3	10	4500	NYJ@NYG	NYG	NYJ	NYG		
Kevin Ogletree	0.797897776	7722	WR	Kevin	Ogletree	0	0	4500	NYJ@NYG	NYG	NYJ	NYG		
Hakeem Nicks	0.797897776	6884	WR	Hakeem	Nicks	0.9	1	4500	NYJ@NYG	NYG	NYJ	NYG		
Derrick Coleman	0.770824945	22800	RB	Derrick	Coleman	0.1	9	4500	SEA@MIN	SEA	MIN	MIN		
Rex Burkhead	0.760969599	27338	RB	Rex	Burkhead	0.9	11	4500	CIN@CLE	CIN	CLE	CLE		
Jeremy Stewart	0.71092226	22235	RB	Jeremy	Stewart	0	0	4500	DEN@SD	DEN	SDG	SDG		
Juwan Thompson	0.71092226	24797	RB	Juwan	Thompson	0.3	10	4900	DEN@SD	DEN	SDG	SDG		
Brandon Tate	0.669574255	9442	WR	Brandon	Tate	1.2	11	4700	CIN@CLE	CIN	CLE	CLE		
Travaris Cadet	0.663272721	22258	RB	Travaris	Cadet	0.4	2	4500	SF@CHI	SFO	CHI	CHI		
Raheem Mostert	0.634306655	28744	RB	Raheem	Mostert	0	6	4500	BAL@MIA	BAL	MIA	MIA		
Greg Little	0.632248894	14253	WR	Greg	Little	0	0	4500	CIN@CLE	CIN	CLE	CLE		
Dan Herron	0.532227129	22130	RB	Dan	Herron	1.4	5	4800	IND@PIT	IND	PIT	PIT		
Stevan Ridley	0.513241858	14268	RB	Stevan	Ridley	0	3	4700	NYJ@NYG	NYJ	NYG	NYG		
Terrell Watson	0.260539699	64104	RB	Terrell	Watson	0	0	4500	CIN@CLE	CIN	CLE	CLE		
Cedric Peerman	0.260539699	7718	RB	Cedric	Peerman	0	11	4500	CIN@CLE	CIN	CLE	CLE		
Mark Weisman	0.260539699	27878	RB	Mark	Weisman	0	0	4500	CIN@CLE	CIN	CLE	CLE		
Ace Sanders	0.14369199	30591	WR	Ace	Sanders	0	0	4500	JAC@TEN	JAX	TEN	TEN		
