name,projection,position,salary,team
Christopher Ivory,13.7322713533,RB,7100,NYJ
Bilal Powell,7.90390806638,RB,4800,NYJ
Stevan Ridley,0.5884524146,RB,4500,NYJ
Tommy Bohanon,0.831279822357,RB,4500,NYJ
LeGarrette Blount,9.8904289827,RB,6300,NE
James White,7.80657713325,RB,6300,NE
Brandon Bolden,4.54334001289,RB,5100,NE
Trey Williams,0.770718944129,RB,4500,NE
Alfred Blue,6.84343266841,RB,5300,HOU
Chris Polk,4.96040159424,RB,5200,HOU
Jonathan Grimes,4.56861871217,RB,4600,HOU
C.J. Spiller,5.31614872003,RB,4800,NO
Marcus Murphy,0.943828062648,RB,4500,NO
Erik Lorig,0.912172217923,RB,4500,NO
Tim Hightower,1.49578406082,RB,4500,NO
Doug Martin,14.5012194936,RB,8000,TB
Charles Sims,7.74753442482,RB,4900,TB
Bobby Rainey,0.977562237107,RB,4500,TB
DeAngelo Williams,12.4941219439,RB,7300,PIT
Isaiah Pead,0.666846494594,RB,4500,PIT
Dri Archer,0.697808932411,RB,4500,PIT
Jordan Todman,0.703333472606,RB,4500,PIT
Jeremy Hill,10.9729161721,RB,6400,CIN
Giovani Bernard,11.7828504874,RB,5700,CIN
Rex Burkhead,1.0538918535,RB,4500,CIN
Danny Woodhead,11.5871721903,RB,5400,SD
Melvin Gordon,6.05400660286,RB,5300,SD
Donald Brown,1.50175837927,RB,4500,SD
Charcandrick West,11.0379437107,RB,5800,KC
Spencer Ware,14.9872284021,RB,5800,KC
Knile Davis,1.48855567406,RB,4500,KC
Alfred Morris,5.67477149539,RB,5500,WAS
Matt Jones,7.68374555961,RB,5100,WAS
Christine Michael,1.34653395727,RB,4800,WAS
Darrel Young,0.729452296102,RB,4500,WAS
Matt Forte,17.281400696,RB,7800,CHI
Jeremy Langford,8.46795646793,RB,5400,CHI
Ka'Deem Carey,2.3270533995,RB,4600,CHI
Antone Smith,0.614801936564,RB,4500,CHI
Todd Gurley,13.7174591377,RB,7900,STL
Tre Mason,3.0374441151,RB,4600,STL
Benny Cunningham,3.04564849372,RB,4500,STL
Theo Riddick,9.04747169331,RB,5500,DET
Ameer Abdullah,5.85700852979,RB,5400,DET
Joique Bell,5.63711854958,RB,5000,DET
DeMarco Murray,11.6672499443,RB,6700,PHI
Darren Sproles,8.14051337667,RB,5100,PHI
Kenjon Barner,1.54584485445,RB,4600,PHI
LeSean McCoy,14.0442590125,RB,7900,BUF
Jerome Felton,0.740365246468,RB,4500,BUF
John Conner,0.735812005275,RB,4500,BUF
Anthony Dixon,1.40301612551,RB,4500,BUF
Frank Gore,11.0267468362,RB,6100,IND
Dan Herron,2.08732961569,RB,4500,IND
T.J. Yeldon,11.7564190957,RB,6400,JAC
Denard Robinson,1.95860796496,RB,4800,JAC
Storm Johnson,0.555180451319,RB,4500,JAC
Shane Vereen,7.91395017094,RB,5100,NYG
Rashad Jennings,7.91544576813,RB,4800,NYG
Henry Hynoski,0.504746405457,RB,4500,NYG
Orleans Darkwa,1.54079311452,RB,4500,NYG
Andre Williams,2.23207315021,RB,4500,NYG
Lamar Miller,14.604975094,RB,6600,MIA
Jay Ajayi,5.08413168966,RB,4600,MIA
Damien Williams,1.3452487774,RB,4600,MIA
Jonas Gray,3.95133271316,RB,4500,MIA
Duke Johnson,7.96391057647,RB,5600,CLE
Isaiah Crowell,5.86586579556,RB,5200,CLE
Shaun Draughn,6.70175492853,RB,6500,SF
Kendall Gaskins,1.0766975671,RB,4700,SF
Travaris Cadet,0.931677179972,RB,4500,SF
Bruce Miller,1.50608142264,RB,4500,SF
Clive Walford,3.8028691068,TE,4700,OAK
Mychal Rivera,2.29059103264,TE,4600,OAK
Lee Smith,1.55840715789,TE,4500,OAK
Owen Daniels,6.58934700535,TE,5200,DEN
James Casey,0.740821127807,TE,4500,DEN
Virgil Green,2.13629307296,TE,4500,DEN
Luke Willson,2.95752351427,TE,4800,SEA
Levine Toilolo,0.752773519881,TE,4500,ATL
Greg Olsen,15.9717810556,TE,6600,CAR
Ed Dickson,2.36494756528,TE,4800,CAR
Richard Rodgers,8.21992864367,TE,5600,GB
Justin Perillo,2.26184829217,TE,4600,GB
Jason Witten,8.07898625336,TE,5500,DAL
Gavin Escobar,1.34316474806,TE,4500,DAL
James Hanna,0.757908669449,TE,4500,DAL
Delanie Walker,13.9471163226,TE,6100,TEN
Craig Stevens,2.22645452339,TE,4500,TEN
Phillip Supernaw,0.691560124644,TE,4500,TEN
Kellen Davis,0.715880456161,TE,4500,NYJ
Jeff Cumberland,0.715880456161,TE,4500,NYJ
Asante Cleveland,0.775415884139,TE,4500,NE
Ryan Griffin,6.63889875412,TE,4900,HOU
C.J. Fiedorowicz,1.99428859629,TE,4500,HOU
Garrett Graham,1.37036137129,TE,4500,HOU
Benjamin Watson,7.87289127418,TE,5300,NO
Josh Hill,2.3163838287,TE,4700,NO
Michael Hoomanawanui,2.03354171613,TE,4500,NO
Austin Seferian-Jenkins,10.6241038371,TE,5500,TB
Cameron Brate,6.06052168218,TE,4900,TB
Luke Stocker,0.885215637902,TE,4500,TB
Jesse James,4.07276053824,TE,4600,PIT
Tyler Kroft,0.772475142578,TE,4500,CIN
Antonio Gates,9.47769336464,TE,5700,SD
Ladarius Green,7.92196931547,TE,5000,SD
David Johnson,3.29943498544,TE,4500,SD
John Phillips,1.5743018367,TE,4500,SD
Travis Kelce,9.22638850802,TE,6000,KC
Brian Parker,0.758700621904,TE,4500,KC
Jordan Reed,11.6183376655,TE,5900,WAS
Rob Housler,0.729591172396,TE,4500,CHI
Khari Lee,0.729591172396,TE,4500,CHI
Jared Cook,4.69402039039,TE,4700,STL
Justice Cunningham,0.766285357523,TE,4500,STL
Cory Harkey,0.75687856827,TE,4500,STL
Eric Ebron,7.66012882874,TE,4900,DET
Brandon Pettigrew,2.15242019232,TE,4500,DET
Tim Wright,2.47187266101,TE,4500,DET
Brent Celek,4.7302723813,TE,5100,PHI
Zach Ertz,5.55795022606,TE,5000,PHI
Trey Burton,0.688761348087,TE,4600,PHI
Chris Gragg,1.67399697395,TE,4500,BUF
Matthew Mulligan,0.731742857514,TE,4500,BUF
Coby Fleener,5.84607509729,TE,4900,IND
Dwayne Allen,2.17679956906,TE,4600,IND
Jack Doyle,1.61756923843,TE,4500,IND
Julius Thomas,6.71156732587,TE,5900,JAC
Marcedes Lewis,1.7676386992,TE,4500,JAC
Clay Harbor,2.21452310149,TE,4500,JAC
Will Tye,7.68671315968,TE,4900,NYG
Jordan Cameron,5.21276630423,TE,5000,MIA
Dion Sims,1.83066753453,TE,4600,MIA
Jake Stoneburner,2.21696850027,TE,4500,MIA
E.J. Bibbs,0.849282994398,TE,4500,CLE
Jim Dray,0.856251242237,TE,4500,CLE
Blake Bell,1.37314712601,TE,4500,SF
CIN Defense,9.45054169815,D,4900,CIN
PIT Defense,9.84348178923,D,4400,PIT
HOU Defense,6.96536293249,D,4500,HOU
NWE Defense,7.52743571328,D,4900,NE
TAM Defense,7.07471338753,D,4300,TB
NOR Defense,5.39123931583,D,4000,NO
CAR Defense,9.66863173473,D,5000,CAR
ATL Defense,6.50721863616,D,4300,ATL
KAN Defense,10.477169779,D,4800,KC
SDG Defense,6.32138512557,D,4100,SD
BAL Defense,6.6662792604,D,4100,BAL
SEA Defense,10.7494787284,D,5300,SEA
TEN Defense,6.25806433191,D,4200,TEN
NYJ Defense,7.33314124283,D,4800,NYJ
DEN Defense,10.8269263066,D,5400,DEN
OAK Defense,6.24607376877,D,4300,OAK
MIA Defense,7.00513144549,D,4600,MIA
NYG Defense,8.30753028716,D,4600,NYG
BUF Defense,6.03821717919,D,4600,BUF
PHI Defense,8.50323943382,D,4600,PHI
IND Defense,6.55521177681,D,4300,IND
JAX Defense,4.67539321921,D,4300,JAC
WAS Defense,8.2511954948,D,4500,WAS
CHI Defense,5.14381116986,D,4500,CHI
STL Defense,8.5720121065,D,4600,STL
DET Defense,8.42558866806,D,4700,DET
DAL Defense,5.02852124401,D,4000,DAL
GNB Defense,6.79544205689,D,4800,GB
SFO Defense,5.23712753192,D,4300,SF
CLE Defense,6.48714856528,D,4300,CLE
