FPPG,ID,Location,Name,Opponent,Position,Salary,Team,Projection 1,Projection 2,Projection 3,Projection 4,Projection 5,Projection 6,Projection 7,Projection 8,Projection 9,Projection 10,Mean,Median,Standard Deviation
1.3,22938,OAK,Rod Streater,GNB,WR,4500,OAK,1.84946826732,2.06404486267,1.69910641596,2.17278436796,2.16853198004,2.5738393706,1.25156301503,1.75096756675,1.26932230731,1.02965177616,1.78292799298,1.80021791704,0.461658495246
0.9,14837,OAK,Jeremy Ross,GNB,WR,4500,OAK,1.31074856415,1.52632976127,1.36822883431,2.50456934444,2.18950020182,2.37467664662,0.940867695036,2.15320165141,0.800100527092,0.860569222795,1.60287924489,1.44727929779,0.619329739898
11.6,14257,OAK,Randall Cobb,OAK,WR,7200,GNB,10.5280475707,12.6484380018,9.88566365638,8.73885370492,11.1194609791,9.65020736717,12.6127102454,10.6198072774,10.3877010556,11.1499073579,10.7340797216,10.573927424,1.16475118302
0.7,54623,OAK,Jeff Janis,OAK,WR,4700,GNB,1.1211563621,0.882753692612,1.28958775676,1.91969626452,1.56380402729,1.92657371595,0.67513709408,1.67041717567,0.791892594659,0.485008776268,1.23260274599,1.20537205943,0.495683473208
1.4,28933,OAK,Jared Abbrederis,OAK,WR,4500,GNB,2.0335968355,1.3661532912,1.51655496525,1.33988789109,1.82816615169,2.04716824036,1.45044137046,1.89660673905,1.26487814186,1.02648448957,1.5769938116,1.48349816785,0.334007231171
5.8,29734,OAK,Ty Montgomery,OAK,WR,4500,GNB,6.16522878749,5.57535116133,5.51287568591,5.12984841022,6.40060456458,5.36373850124,3.74131736374,6.91677107614,9.68043164198,5.15551562413,5.96416828168,5.54411342362,1.48173553836
2.0,29084,WAS,Rashad Ross,BUF,WR,4800,WAS,1.87696781779,1.95918718315,1.75414935248,1.52357212844,1.60508724033,1.81701555759,2.00507119002,2.13157211312,1.32688969558,1.5629445229,1.75624568014,1.78558245504,0.236841356369
2.8,33703,WAS,Ryan Grant,BUF,WR,4600,WAS,2.46455403435,2.64866007915,2.15428517315,2.69294835357,2.01427811293,2.54099608812,2.67180813482,2.63297508732,2.09486892461,2.08637452168,2.40017485097,2.50277506123,0.264665355665
2.8,11504,WAS,Andre Roberts,BUF,WR,4500,WAS,2.46455403435,2.64866007915,2.15428517315,2.74818920628,2.01835478577,2.53496818496,2.67180813482,2.63297508732,2.09486892461,2.08637452168,2.40550381321,2.49976110965,0.270333143732
13.3,24641,WAS,Sammy Watkins,WAS,WR,7200,BUF,11.9667381726,17.8806238601,13.1556178658,15.7387599864,11.7522612272,12.7433102578,10.7247265244,11.9288892076,11.4902768622,14.0120186968,13.1393222661,12.3550242152,2.08493095078
14.3,31394,SDG,Jarvis Landry,SDG,WR,7100,MIA,16.0132263332,14.6892742361,10.811849008,12.7689733572,14.8249542884,19.0851591461,12.9615415845,15.6495669898,14.812142528,14.2085148231,14.5825202294,14.750708382,2.09419503815
10.2,22163,SDG,Rishard Matthews,SDG,WR,5400,MIA,15.3946590007,9.78688668027,6.98739393283,9.88227272801,10.4197482968,10.1516911638,8.53884909076,12.654901101,11.0756309534,10.2852121681,10.5177245116,10.218451666,2.14890716306
2.1,6896,SDG,Greg Jennings,SDG,WR,4700,MIA,3.550375679,2.6747415857,1.99635559916,2.01851747042,2.29211138484,3.69207226361,1.53089634235,2.2740137077,3.8531303032,2.51054787506,2.6392762211,2.40132962995,0.755704087366
6.5,7952,SDG,Malcom Floyd,MIA,WR,5600,SDG,7.0999563961,6.68484916841,5.32002498907,7.44565047492,5.0096452155,6.56188317624,5.77567012651,9.31848273801,7.18304402225,5.92536742052,6.63245737275,6.62336617233,1.18302580456
4.6,14645,SDG,Dontrelle Inman,MIA,WR,5000,SDG,4.81726893569,3.94463651983,3.57374419911,4.37942506745,3.84005586223,3.35104708936,4.28640733077,3.55500879539,2.95487961864,4.00448246115,3.87069558796,3.89234619103,0.514637712451
2.7,14277,SDG,Vincent Brown,MIA,WR,4500,SDG,3.15553520388,2.99602502846,1.87841784356,2.15412765603,2.03759335586,2.58238949344,2.87006674399,2.08605019334,4.03150748761,1.83800592203,2.56297189282,2.36825857474,0.667440469969
0.2,14369,PIT,Jordan Todman,DEN,RB,4500,PIT,0.505916374272,0.348193554792,0.694205999628,0.729842420785,0.361055129338,0.137095187263,0.285567385267,0.201606877364,0.446644954443,1.00611657735,0.47162444605,0.40385004189,0.255068249925
8.4,29249,PIT,C.J. Anderson,PIT,RB,5900,DEN,9.09509080491,5.87796972855,7.63488420851,13.1117145681,7.02091534172,7.61890325781,6.86788250911,7.33982341986,6.87695978607,9.79980536937,8.1243948994,7.47936333883,1.97818892211
8.5,25837,SEA,Duke Johnson,SEA,RB,5500,CLE,11.2301964183,5.90704074692,7.95786200901,7.60281738161,9.43363671162,9.2383922236,7.248057327,10.3081361424,8.06318392759,9.06808724657,8.60574101347,8.56563558708,1.48093205636
1.5,14643,SEA,DuJuan Harris,CLE,RB,6400,SEA,4.26825299882,3.89696130805,2.71997732221,1.61420442281,2.0318756108,2.65042088155,0.273848008588,0.833624637248,1.56905528623,1.51219096602,2.13704114423,1.82304001681,1.20044172089
2.3,25694,NYG,Andre Williams,CAR,RB,4500,NYG,1.97288417185,2.57977251108,2.87413369253,2.07314643571,2.08478752198,2.62065311358,1.83370298346,2.82769087813,3.19891373499,2.1793148918,2.42449999351,2.37954370144,0.433474702192
4.8,7975,NYG,Mike Tolbert,NYG,RB,4600,CAR,6.80940460061,4.99698998333,5.06870883693,4.77904047749,4.05446365091,5.09945820677,5.11113307655,4.19982217397,3.6014140401,5.1548637498,4.88752987965,5.03284941013,0.820828502709
9.9,11425,PHI,Ryan Mathews,ARI,RB,5400,PHI,9.4584399222,9.82376838999,11.3590926527,12.0316062507,9.57264048405,8.40897271313,8.07508052275,10.4110174222,7.35474323471,8.1997789947,9.4695140587,9.51554020312,1.42517303077
0.4,29723,PHI,Stepfan Taylor,PHI,RB,4500,ARI,0.443671822289,0.532349035361,0.516870634836,0.440355568248,1.82918484148,0.728985946498,0.543893574749,0.353152891622,0.419924539071,1.14608370397,0.695447255812,0.524609835098,0.435035511176
1.2,28249,NWE,David Cobb,NWE,RB,4500,TEN,1.51494607844,1.36073617464,1.18743432805,1.01332289896,1.29735689311,1.37635993035,0.87572322346,1.60962983721,1.16336930931,0.892085922418,1.2290964596,1.24239561058,0.236907883869
6.0,28930,NWE,James White,TEN,RB,6400,NWE,8.8527297343,5.99963341578,6.57694375742,8.75913345346,9.4282084965,10.5064003744,5.804823107,4.3091887204,5.78777159711,6.68912489676,7.27139575532,6.63303432709,1.88139324889
4.6,22991,IND,Jonathan Grimes,IND,RB,5000,HOU,6.02316377975,7.59851218847,3.80334323055,7.5572988141,5.0464031683,3.30949176434,8.97273099497,7.47006808475,16.7810122218,5.77486828896,7.2336892536,6.74661593225,3.60574106991
3.8,39428,BAL,Kyle Juszczyk,KAN,RB,4500,BAL,4.47618692982,4.71157473792,3.17223793358,3.42018815574,2.48563511875,4.17656928317,3.32013437053,3.99967701791,3.78497269537,3.27211926181,3.68192955046,3.60258042555,0.64074320121
8.1,31459,BAL,Spencer Ware,BAL,RB,5900,KAN,12.0249193743,6.9602096391,14.7409993821,10.9426820786,10.5253181839,14.6363514315,12.0293843586,12.1043786768,11.8551137551,12.4279378029,11.8247294683,12.0271518664,2.07520662895
1.7,22258,SFO,Travaris Cadet,CIN,RB,4500,SFO,1.95693541388,1.5151852575,1.39276112353,1.82762866614,1.53869506942,2.28613190908,1.896557703,1.2719086838,1.64677247634,1.33998832529,1.6672564628,1.59273377288,0.3039809671
1.3,14406,SFO,Bruce Miller,CIN,RB,4500,SFO,1.34405258156,1.211499878,1.17373870916,1.56325739083,1.13569415484,2.01559421961,1.54159641396,0.833995616196,1.35412841566,1.0006489417,1.31742063215,1.27777622978,0.316089518496
10.6,25290,SFO,Giovani Bernard,SFO,RB,5600,CIN,9.8047935971,11.3038647537,9.83452565374,11.0535877946,11.0920125911,10.9129016617,9.68968346863,9.8150053398,10.0542939019,10.3070203098,10.3867689072,10.1806571059,0.602769074807
1.0,29805,SFO,Ryan Hewitt,SFO,RB,4500,CIN,1.15255473862,0.949558436686,0.872662954411,0.962173489395,0.976564911939,1.40377197996,1.02866325099,0.771989656285,1.10973133713,0.83720160881,1.00648723642,0.969369200667,0.172620283216
2.2,14757,MIN,Matt Asiata,CHI,RB,4500,MIN,1.78248263719,1.93193169896,1.72192791328,2.81466984515,2.04717171092,2.11072694428,2.0869443546,2.10154265019,2.01320830773,2.28897285293,2.08995789152,2.06705803276,0.287761974988
9.3,28202,MIN,Jeremy Langford,MIN,RB,5300,CHI,7.8904166219,7.06280429508,6.62210966093,8.19123834141,8.53794833556,7.70683238123,12.0707046211,10.3281221409,6.06898885142,8.77149656406,8.32506618136,8.04082748166,1.6869781699
4.2,6828,NOR,Tim Hightower,DET,RB,6300,NOR,6.17708947246,4.88703795687,3.6372202002,5.6463987584,7.59263012762,4.91063298675,8.38450959422,4.62001236816,3.67093439026,3.94644763459,5.34729134895,4.89883547181,1.53858989316
9.1,33465,NOR,Theo Riddick,NOR,RB,5400,DET,7.94283227258,7.97986419378,7.71079318935,8.37150935733,9.16329944865,8.43963156073,7.94244342713,7.7958293915,6.25046452556,10.6520669824,8.2248734349,7.96134823318,1.06796658809
3.6,28088,JAX,Denard Robinson,ATL,RB,6300,JAX,5.91791702581,5.35216681002,2.77720639259,6.25065171835,2.47185989771,3.46166575263,5.05543552474,4.98223894641,2.97420190772,3.16442853612,4.24077725121,4.22195234952,1.33947288673
3.6,27776,JAX,Tevin Coleman,JAX,RB,5000,ATL,3.92099789959,3.0214379828,3.21773357111,3.0200888457,3.24244736968,2.65192362968,3.4434781305,4.0998799063,3.1262650251,2.90677439419,3.26510267547,3.1719992981,0.424816939372
2.2,14683,JAX,Patrick DiMarco,JAX,RB,4500,ATL,2.3531587634,2.03473442108,2.38979685082,2.0129738549,2.61572810459,2.12659365754,2.10110603439,1.88589767768,2.20733794048,2.19653195802,2.19238592629,2.16156280778,0.201969479573
