Id,Position,First Name,Last Name,Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Starter
14683,RB,Patrick,DiMarco,Patrick DiMarco,2.2,12,4500,ATL@CAR,ATL,CAR,,,Y
29645,RB,Javorius,Allen,Javorius Allen,7.3,12,7000,SEA@BAL,BAL,SEA,,,Y
54607,RB,Terrance,West,Terrance West,2.2,4,4600,SEA@BAL,BAL,SEA,,,Y
39428,RB,Kyle,Juszczyk,Kyle Juszczyk,4.1,12,4500,SEA@BAL,BAL,SEA,,,Y
28744,RB,Raheem,Mostert,Raheem Mostert,0,7,4500,SEA@BAL,BAL,SEA,,,Y
6779,RB,LeSean,McCoy,LeSean McCoy,14.6,10,7900,BUF@PHI,BUF,PHI,,,Y
24907,RB,Karlos,Williams,Karlos Williams,11.2,8,4900,BUF@PHI,BUF,PHI,Q,Shoulder,Y
6653,RB,Jerome,Felton,Jerome Felton,0.2,12,4500,BUF@PHI,BUF,PHI,,,Y
11557,RB,John,Conner,John Conner,0,0,4500,BUF@PHI,BUF,PHI,,,Y
11594,RB,Anthony,Dixon,Anthony Dixon,1.3,12,4500,BUF@PHI,BUF,PHI,,,Y
6733,RB,Jonathan,Stewart,Jonathan Stewart,11.6,12,7200,ATL@CAR,CAR,ATL,,,Y
7975,RB,Mike,Tolbert,Mike Tolbert,4.9,12,4600,ATL@CAR,CAR,ATL,,,Y
38269,RB,Cameron,Artis-Payne,Cameron Artis-Payne,0.8,4,4500,ATL@CAR,CAR,ATL,,,Y
37245,RB,Foswhitt,Whittaker,Foswhitt Whittaker,1,12,4500,ATL@CAR,CAR,ATL,,,Y
6899,RB,Matt,Forte,Matt Forte,14.9,9,7800,WAS@CHI,CHI,WAS,,,Y
28202,RB,Jeremy,Langford,Jeremy Langford,9.4,12,5400,WAS@CHI,CHI,WAS,,,Y
29003,RB,Ka'Deem,Carey,Ka'Deem Carey,2.5,7,4600,WAS@CHI,CHI,WAS,,,Y
10046,RB,Antone,Smith,Antone Smith,0.2,5,4500,WAS@CHI,CHI,WAS,,,Y
31397,RB,Jeremy,Hill,Jeremy Hill,10.1,12,6400,PIT@CIN,CIN,PIT,,,Y
25290,RB,Giovani,Bernard,Giovani Bernard,10.8,12,5700,PIT@CIN,CIN,PIT,,,Y
27338,RB,Rex,Burkhead,Rex Burkhead,0.9,12,4500,PIT@CIN,CIN,PIT,,,Y
