name,projection,position,fppg,salary,team,opponent,injury
Jordan Todman,1.126481665,RB,0.2,4500,PIT,CIN,
Isaiah Pead,1.126481665,RB,-0.8,4500,PIT,CIN,
Solomon Patton,1.094997653,WR,0.0,4500,DEN,OAK,
Joseph Morgan,1.081133842,WR,0.0,4500,BAL,SEA,
Antone Smith,1.058676996,RB,0.2,4500,CHI,WAS,
Darrel Young,1.038119792,RB,0.3,4500,WAS,CHI,
Bobby Rainey,1.008683944,RB,0.4,4500,TB,NO,
Rod Smith,0.991270384,RB,0.2,4500,DAL,GB,
Tommy Bohanon,0.801919254,RB,0.6,4500,NYJ,TEN,
Geremy Davis,0.797897776,WR,0.3,4500,NYG,MIA,
Kevin Ogletree,0.797897776,WR,0.0,4500,NYG,MIA,
Hakeem Nicks,0.797897776,WR,1.1,4500,NYG,MIA,
Derrick Coleman,0.770824945,RB,0.1,4500,SEA,BAL,
Rex Burkhead,0.760969599,RB,0.9,4500,CIN,PIT,
Jeremy Stewart,0.71092226,RB,0.0,4500,DEN,OAK,
Juwan Thompson,0.71092226,RB,0.7,4600,DEN,OAK,
Brandon Tate,0.669574255,WR,1.1,4700,CIN,PIT,
Travaris Cadet,0.663272721,RB,0.8,4500,SF,CLE,
Raheem Mostert,0.634306655,RB,0.0,4500,BAL,SEA,
Greg Little,0.632248894,WR,0.0,4500,CIN,PIT,
Dan Herron,0.532227129,RB,1.9,4500,IND,JAC,
Stevan Ridley,0.513241858,RB,0.1,4500,NYJ,TEN,
Ace Sanders,0.14369199,WR,0.0,4500,JAC,IND,
